Location,Longitude,Latitude
TAMPA MUNICIPAL INCINERATOR,-82.43333255975375,27.96667046323028
SPRAGUE ELECTRIC COMPANY,-81.3233322631739,28.715281337170193
UF CHEMICAL DISPOSAL SITE,-82.37611264300563,29.63750313171265
POST AND LUMBER PRESERVING CO INC,-84.51008408968178,30.59247725259194
CSX JAX ETHANOL DERAILMENT,-81.64250039607442,30.437503716848767
"TRI-CITY OIL CONSERVATIONIST, INC",-82.4014995944464,28.031803331662367
PIONEER SAND CO.,-87.35139337313214,30.47417170791384
HONEYWELL INC TAMPA DIV,-82.50240432348286,28.02445574260022
MUNISPORT LANDFILL,-80.15417051975696,25.908334794533395
CENTRAL FLORIDA CIRCUITS,-81.40081655803041,28.404418221982006
ST. JOE FOREST PRODUCTS,-85.30999983553251,29.820002486952582
HERON CREEK MIDDLE SCHOOL MERCURY SPILL,-82.22928984628112,27.0741349636691
PENNSYLVANIA AVE VOC PLUME,-81.20277908952251,28.63555926630873
DRY CLEAN USA,-80.24366796482055,26.121213025361804
LIONHEART INDUSTRIES ORLANDO PLATING,-81.39607899159695,28.551723453882985
CSX COTTON LAKE ROAD DERAILEMENT,-87.3236945421596,30.789047831908206
GUILLEMARD STREET PCE PLUME,-87.2175445421517,30.4286512858715
CASCADE PARK GASIFICATION PLANT,-84.27861373600783,30.499725082597745
SOUTHERN PINE DISTILLERS,-83.12166802276545,29.636669753141735
H E W SITE,-80.2344605656008,25.82411816773328
LUTZ MERCURY SITE,-82.48000372308121,28.163572633228835
TRANSPORTATION SECURITY ADMINISTRATION - FLL,-80.1505024540283,26.081625540033915
US DFSP - TAMPA,-82.53267706687733,27.85361281966409
SAPP BATTERY SALVAGE,-85.39250203775698,30.728334647293526
BOYNTON BEACH LANDFILL,-80.13055631309503,26.562503630748502
FLORIDA DEP SIS ECHOL CHEMICAL,-81.9614491431914,27.978473354107766
STILL MEADOW BATTERY,-82.25127762091098,27.914482825168204
FAIRBANKS DOT WASTE DISPOSAL,-82.33000170646028,29.66000301809023
LINDSLEY LUMBER,-80.15666818335212,26.05083679606681
FLORIDA STEEL CORP.,-80.50611111833592,27.04111486528901
LONESTAR FLORIDA PENSUCO,-80.37349230417645,25.65636441017168
STETSON RD LANDFILL,-81.6396204813127,30.270813596469345
POWELL ELECTRONICS INC,-80.16041086223528,26.20774370209509
LAKE MARY TRASH DUMP,-81.2991392633048,28.7615232741512
OKEECHOBEE BOULEVARD YARD TRASH SITE,-80.11951015415552,26.701823726945175
LEON WOOD PRESERVING,-84.28031252077555,30.393868219508462
CONTINENTAL TURPENTINE & ROSIN,-83.12166802276545,29.636669753141735
"LONNIE C. MILLER, SR. PARK",-81.72758047928231,30.390753734117705
WASHAC INDUSTRIES,-81.35055623553194,29.957782119945723
MOSS SOAP & CHEMICAL,-80.25361170603675,25.835894116441334
CHEMTRON CORP. (AKA- AIR LIQUIDE FACILITY),-81.70171050520851,30.33164365261967
NORTH 40TH STREET BATTERY,-82.41639970309878,28.03122339231367
JJ SEIFERT MACHINE,-82.47777761539767,27.6786149670002
GAINESVILLE AIRPORT,-82.33000170646028,29.66000301809023
"WALTON CLEANERS, INC.",-86.61342082871255,30.4174535295289
TRANSPORTATION SECURITY ADMINISTRATION-MCO,-81.30798982705033,28.43156532641541
ETTLINGERS PIT,-81.6433334739689,30.291670610093636
AZALEA CLEANERS,-81.3100289938753,28.545853382222635
ROUSE STEEL DRUM,-81.6449104439614,30.35061365459898
DAVIE LANDFILL,-80.34260101264692,26.069604207269737
USAF - HOMESTEAD AIR RESERVE BASE,-80.39694698836608,25.489448555883055
MARTEL LANDFILL,-82.26166775287133,29.166947657216145
LIQUID CARBONIC CORP,-80.16764118003833,26.047913835845968
MUSSELMAN STEEL FACILITY,-82.43764655507873,27.93810854106602
CHLORIDE METALS INC,-82.40170166732624,28.03984436240325
PET CHEMICALS INC,-80.31675120153751,25.84164036934518
LAUDERDALE CHEMICAL WAREHOUSE,-80.17293089412792,26.186263753859446
PRATT & WHITNEY AIRCRAFT/UNITED TECHNOLOGIES CORP.,-80.31866983753923,26.920896779389256
DESOTO MIDDLE SCHOOL MERCURY SPILL,-81.85056929015356,27.22373468622467
"CENTRAL PHOSPHATES, INC.",-82.12166408338625,28.018336035318242
CALLAWAY & SON DRUM SERVICE,-81.71471887565019,28.098058112195027
UNITCO SANITATION SERVICE,-80.3508345803807,25.85861530136935
ALLIED CHEM CORP,-85.29666682288156,29.815002495996037
WAKULLA CLEANERS,-84.37221892024444,30.191565532909014
AMERICAN BERYLLIUM CORPORATION,-82.54386276614034,27.40335243301473
EXCEL CLEANERS,-80.14425139407591,25.960623775954243
SADLER DRUM (PERRY),-83.64263421877887,30.091479217819238
DICKINSON SITE,-80.70019871353065,28.091593606425572
CAMBRIDGE INSTITUTE HG SPILL,-81.37608927445925,28.663713435567413
FORMOST FERTILIZER CHEMCIALS,-81.90295364583444,28.822584802636765
NEPTUNE TANK SERVICE SITE,-80.2094416884346,25.84196396974797
PACE ONE HOUR DRY CLEANERS,-87.15749776297605,30.601196395974327
US COAST GUARD BASE MIAMI BEACH,-80.14472386515854,25.7703927214548
US DOD USAF TYNDALL AFB RANGE,-85.58666794428034,30.087502554308248
DAVIS LANDFILL,-81.96247937408151,29.03486223912703
ASCEND PERFORMANCE MATERIALS OPERATIONS,-87.25198064240392,30.59667848854265
NORTHSHORE DRIVE DUMP,-81.67222244860183,30.37861468869865
TAMPA PRINTED CIRCUITS CORPORATION,-82.54419326529012,27.999037675974034
FORTY-THIRD STREET BAY DRUM SITE,-82.4104083214778,27.95911336583584
NAVFAC SOUTHERN DIVISION - CECIL FIELD,-81.90277817216037,30.238613465882608
"NORTHERN TELECOM ELECTRONICS, INC.",-80.07438607764463,26.7638937429723
"ERK MANUFACTURING,INC",-80.26512511369943,27.226240027872823
SAWGRASS LAKE PARK SKEET RANGE,-82.67665999184078,27.83925351499117
